,Year,Age,MainOffence,Gender,Ethnicity,Order,Value,Flags
1633,1992,14,Theft And Related Offences,Female,European,"Discharge, admonish",1,NA
1674,1992,14,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
1660,1992,14,Property Damage And Environmental Pollution,Female,European,Supervision with residence,1,NA
1615,1992,14,Theft And Related Offences,Female,European,"Supervision, community work",1,NA
1574,1992,14,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,European,"Supervision, community work",1,NA
13857,1992,15,Illicit Drug Offences,Female,European,Adult sentences,1,NA
13636,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",1,NA
13982,1992,15,"Offences Against Justice Procedures, Government Security And Government Operations",Female,European,"Monetary, confiscation, disqualification",1,NA
13912,1992,15,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
13788,1992,15,Theft And Related Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
13883,1992,15,Property Damage And Environmental Pollution,Female,European,Supervision with residence,1,NA
13666,1992,15,"Abduction, Harassment And Other Offences Against The Person",Female,European,"Supervision, community work",1,NA
13587,1992,15,Acts Intended To Cause Injury,Female,European,"Supervision, community work",1,NA
13911,1992,15,Public Order Offences,Female,European,"Supervision, community work",1,NA
13772,1992,15,Theft And Related Offences,Female,European,"Supervision, community work",1,NA
30681,1992,16,Acts Intended To Cause Injury,Female,European,Adult sentences,1,NA
31079,1992,16,"Fraud, Deception And Related Offences",Female,European,Adult sentences,1,NA
30654,1992,16,Homicide And Related Offences,Female,European,Adult sentences,1,NA
30990,1992,16,Theft And Related Offences,Female,European,Adult sentences,1,NA
30810,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Discharge, admonish",1,NA
31122,1992,16,"Fraud, Deception And Related Offences",Female,European,"Discharge, admonish",1,NA
31247,1992,16,Public Order Offences,Female,European,"Discharge, admonish",1,NA
31045,1992,16,Theft And Related Offences,Female,European,"Discharge, admonish",1,NA
30712,1992,16,Acts Intended To Cause Injury,Female,European,"Monetary, confiscation, disqualification",1,NA
30787,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.1,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.2,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.3,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.4,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
30787.5,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,"Monetary, confiscation, disqualification",6,NA
31104,1992,16,"Fraud, Deception And Related Offences",Female,European,"Monetary, confiscation, disqualification",1,NA
31235,1992,16,Public Order Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
31026,1992,16,Theft And Related Offences,Female,European,"Monetary, confiscation, disqualification",1,NA
31292,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.1,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.2,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.3,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.4,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
31292.5,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Monetary, confiscation, disqualification",6,NA
30777,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,European,Supervision with residence,1,NA
31095,1992,16,"Fraud, Deception And Related Offences",Female,European,"Supervision, community work",1,NA
31145,1992,16,Illicit Drug Offences,Female,European,"Supervision, community work",1,NA
31284,1992,16,Traffic And Vehicle Regulatory Offences,Female,European,"Supervision, community work",1,NA
30923,1992,16,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,European,"Supervision, community work",1,NA
4462,1992,14,Theft And Related Offences,Female,Maori,Adult sentences,1,NA
4574,1992,14,Property Damage And Environmental Pollution,Female,Maori,"Discharge, admonish",1,NA
4204,1992,14,Dangerous Or Negligent Acts Endangering Persons,Female,Maori,"Monetary, confiscation, disqualification",1,NA
4587,1992,14,Public Order Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
4494,1992,14,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
4405,1992,14,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Monetary, confiscation, disqualification",1,NA
4226,1992,14,"Abduction, Harassment And Other Offences Against The Person",Female,Maori,"Supervision with activity, intensive supervision",1,NA
4285,1992,14,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision with activity, intensive supervision",1,NA
4381,1992,14,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Supervision with activity, intensive supervision",1,NA
4294,1992,14,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",1,NA
17440,1992,15,"Abduction, Harassment And Other Offences Against The Person",Female,Maori,Adult sentences,1,NA
17352,1992,15,Acts Intended To Cause Injury,Female,Maori,"Discharge, admonish",1,NA
17418,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Maori,"Discharge, admonish",1,NA
17840,1992,15,"Fraud, Deception And Related Offences",Female,Maori,"Discharge, admonish",1,NA
17782,1992,15,Theft And Related Offences,Female,Maori,"Discharge, admonish",1,NA
17672,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Discharge, admonish",1,NA
17397,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Maori,"Monetary, confiscation, disqualification",1,NA
18019,1992,15,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Maori,"Monetary, confiscation, disqualification",1,NA
17552,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Monetary, confiscation, disqualification",1,NA
17757,1992,15,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
17967,1992,15,Traffic And Vehicle Regulatory Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
17652,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Monetary, confiscation, disqualification",1,NA
17960,1992,15,Traffic And Vehicle Regulatory Offences,Female,Maori,Supervision with residence,1,NA
17315,1992,15,Acts Intended To Cause Injury,Female,Maori,"Supervision, community work",1,NA
17825,1992,15,"Fraud, Deception And Related Offences",Female,Maori,"Supervision, community work",1,NA
17528,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17528.1,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17528.2,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17528.3,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17528.4,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17528.5,1992,15,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",6,NA
17733,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17733.1,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17733.2,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17733.3,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17733.4,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17733.5,1992,15,Theft And Related Offences,Female,Maori,"Supervision, community work",6,NA
17625,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Supervision, community work",1,NA
36044,1992,16,"Fraud, Deception And Related Offences",Female,Maori,Adult sentences,1,NA
36107,1992,16,Illicit Drug Offences,Female,Maori,Adult sentences,1,NA
36384,1992,16,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Maori,Adult sentences,1,NA
35925,1992,16,Theft And Related Offences,Female,Maori,Adult sentences,1,NA
35795,1992,16,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,Adult sentences,1,NA
35625,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Maori,"Discharge, admonish",1,NA
35754,1992,16,"Robbery, Extortion And Related Offences",Female,Maori,"Discharge, admonish",1,NA
36342,1992,16,Traffic And Vehicle Regulatory Offences,Female,Maori,"Discharge, admonish",1,NA
35528,1992,16,Acts Intended To Cause Injury,Female,Maori,"Monetary, confiscation, disqualification",1,NA
35603,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Maori,"Monetary, confiscation, disqualification",1,NA
36067,1992,16,"Fraud, Deception And Related Offences",Female,Maori,"Monetary, confiscation, disqualification",1,NA
36394,1992,16,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Maori,"Monetary, confiscation, disqualification",1,NA
36186,1992,16,Property Damage And Environmental Pollution,Female,Maori,"Monetary, confiscation, disqualification",1,NA
36238,1992,16,Public Order Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
35975,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
35975.1,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
35975.2,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
35975.3,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
35975.4,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
35975.5,1992,16,Theft And Related Offences,Female,Maori,"Monetary, confiscation, disqualification",6,NA
36316,1992,16,Traffic And Vehicle Regulatory Offences,Female,Maori,"Monetary, confiscation, disqualification",1,NA
35857,1992,16,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Monetary, confiscation, disqualification",1,NA
35714,1992,16,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision with activity, intensive supervision",1,NA
35508,1992,16,Acts Intended To Cause Injury,Female,Maori,"Supervision, community work",1,NA
36060,1992,16,"Fraud, Deception And Related Offences",Female,Maori,"Supervision, community work",1,NA
35725,1992,16,"Robbery, Extortion And Related Offences",Female,Maori,"Supervision, community work",1,NA
35952,1992,16,Theft And Related Offences,Female,Maori,"Supervision, community work",1,NA
36303,1992,16,Traffic And Vehicle Regulatory Offences,Female,Maori,"Supervision, community work",1,NA
35834,1992,16,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Supervision, community work",1,NA
50703,1992,Unknown,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Maori,"Discharge, admonish",1,NA
50676,1992,Unknown,"Unlawful Entry With Intent/Burglary, Break And Enter",Female,Maori,"Discharge, admonish",1,NA
42095,1992,16,"Fraud, Deception And Related Offences",Female,Other,Adult sentences,1,NA
42083,1992,16,Theft And Related Offences,Female,Other,"Monetary, confiscation, disqualification",1,NA
6708,1992,14,"Robbery, Extortion And Related Offences",Female,Pacific Peoples,"Monetary, confiscation, disqualification",1,NA
6735,1992,14,Theft And Related Offences,Female,Pacific Peoples,Supervision with residence,1,NA
20916,1992,15,"Robbery, Extortion And Related Offences",Female,Pacific Peoples,"Monetary, confiscation, disqualification",1,NA
20849,1992,15,Acts Intended To Cause Injury,Female,Pacific Peoples,"Supervision, community work",1,NA
39977,1992,16,Theft And Related Offences,Female,Pacific Peoples,Adult sentences,1,NA
39832,1992,16,Acts Intended To Cause Injury,Female,Pacific Peoples,"Monetary, confiscation, disqualification",1,NA
39858,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Pacific Peoples,"Monetary, confiscation, disqualification",1,NA
39909,1992,16,"Robbery, Extortion And Related Offences",Female,Pacific Peoples,"Supervision, community work",1,NA
51045,1992,Unknown,Acts Intended To Cause Injury,Female,Pacific Peoples,"Monetary, confiscation, disqualification",1,NA
7952,1992,14,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",1,NA
7950,1992,14,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",1,NA
23154,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",1,NA
23121,1992,15,Acts Intended To Cause Injury,Female,Unknown,"Monetary, confiscation, disqualification",1,NA
23139,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23139.1,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23139.2,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23139.3,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23139.4,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23139.5,1992,15,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",6,NA
23220,1992,15,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Unknown,"Monetary, confiscation, disqualification",1,NA
23202,1992,15,Traffic And Vehicle Regulatory Offences,Female,Unknown,"Monetary, confiscation, disqualification",1,NA
43436,1992,16,Traffic And Vehicle Regulatory Offences,Female,Unknown,Adult sentences,1,NA
43371,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.1,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.2,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.3,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.4,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.5,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.6,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.7,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43371.8,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Discharge, admonish",9,NA
43463,1992,16,Traffic And Vehicle Regulatory Offences,Female,Unknown,"Discharge, admonish",1,NA
43348,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.1,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.2,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.3,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.4,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.5,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.6,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.7,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.8,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.9,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.1,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.11,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.12,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.13,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.14,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.15,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.16,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.17,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.18,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.19,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.2,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.21,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.22,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.23,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.24,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.25,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.26,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.27,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.28,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.29,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.3,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.31,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.32,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.33,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.34,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.35,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.36,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.37,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.38,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.39,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.4,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43348.41,1992,16,Dangerous Or Negligent Acts Endangering Persons,Female,Unknown,"Monetary, confiscation, disqualification",42,NA
43444,1992,16,Traffic And Vehicle Regulatory Offences,Female,Unknown,"Monetary, confiscation, disqualification",1,NA
43488,1992,16,"Offences Against Justice Procedures, Government Security And Government Operations",Female,Unknown,"Supervision, community work",1,NA
43442,1992,16,Traffic And Vehicle Regulatory Offences,Female,Unknown,"Supervision, community work",1,NA
1298,1992,14,Public Order Offences,Male,European,"Discharge, admonish",1,NA
837,1992,14,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",1,NA
780,1992,14,Sexual Assault And Related Offences,Male,European,"Monetary, confiscation, disqualification",1,NA
1131,1992,14,Theft And Related Offences,Male,European,"Monetary, confiscation, disqualification",1,NA
1327,1992,14,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",1,NA
858,1992,14,"Abduction, Harassment And Other Offences Against The Person",Male,European,"Supervision, community work",1,NA
669,1992,14,Acts Intended To Cause Injury,Male,European,"Supervision, community work",1,NA
1108,1992,14,Theft And Related Offences,Male,European,"Supervision, community work",1,NA
1004,1992,14,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Supervision, community work",1,NA
12478,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,Adult sentences,1,NA
12256,1992,15,Homicide And Related Offences,Male,European,Adult sentences,1,NA
13090,1992,15,Prohibited And Regulated Weapons And Explosives Offences,Male,European,Adult sentences,1,NA
13136,1992,15,Property Damage And Environmental Pollution,Male,European,Adult sentences,1,NA
12604,1992,15,"Robbery, Extortion And Related Offences",Male,European,Adult sentences,1,NA
12380,1992,15,Sexual Assault And Related Offences,Male,European,Adult sentences,1,NA
12873,1992,15,Theft And Related Offences,Male,European,Adult sentences,1,NA
12711,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,Adult sentences,1,NA
12337,1992,15,Acts Intended To Cause Injury,Male,European,"Discharge, admonish",1,NA
12523,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Discharge, admonish",1,NA
13270,1992,15,Public Order Offences,Male,European,"Discharge, admonish",1,NA
12970,1992,15,Theft And Related Offences,Male,European,"Discharge, admonish",1,NA
13349,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Discharge, admonish",1,NA
12822,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Discharge, admonish",1,NA
12323,1992,15,Acts Intended To Cause Injury,Male,European,"Monetary, confiscation, disqualification",1,NA
12500,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.1,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.2,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.3,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.4,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.5,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.6,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.7,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.8,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.9,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.1,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.11,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.12,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.13,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
12500.14,1992,15,Dangerous Or Negligent Acts Endangering Persons,Male,European,"Monetary, confiscation, disqualification",15,NA
13023,1992,15,"Fraud, Deception And Related Offences",Male,European,"Monetary, confiscation, disqualification",1,NA
13063,1992,15,Illicit Drug Offences,Male,European,"Monetary, confiscation, disqualification",1,NA
13404,1992,15,"Offences Against Justice Procedures, Government Security And Government Operations",Male,European,"Monetary, confiscation, disqualification",1,NA
12948,1992,15,Theft And Related Offences,Male,European,"Monetary, confiscation, disqualification",1,NA
13323,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.1,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.2,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.3,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.4,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.5,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.6,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.7,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
13323.8,1992,15,Traffic And Vehicle Regulatory Offences,Male,European,"Monetary, confiscation, disqualification",9,NA
12796,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.1,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.2,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.3,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.4,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.5,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.6,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.7,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.8,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.9,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.1,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.11,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.12,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.13,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
12796.14,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Monetary, confiscation, disqualification",15,NA
13093,1992,15,Prohibited And Regulated Weapons And Explosives Offences,Male,European,"Supervision with activity, intensive supervision",1,NA
12902,1992,15,Theft And Related Offences,Male,European,"Supervision with activity, intensive supervision",1,NA
12750,1992,15,"Unlawful Entry With Intent/Burglary, Break And Enter",Male,European,"Supervision with activity, intensive supervision",1,NA
12881,1992,15,Theft And Related Offences,Male,European,Supervision with residence,1,NA
12304,1992,15,Acts Intended To Cause Injury,Male,European,"Supervision, community work",1,NA
12257,1992,15,Homicide And Related Offences,Male,European,"Supervision, community work",1,NA
13054,1992,15,Illicit Drug Offences,Male,European,"Supervision, community work",1,NA
13169,1992,15,Property Damage And Environmental Pollution,Male,European,"Supervision, community work",1,NA
